Nr;Addresse;Gebaeudebezeichnung;Plz;Nettoflaeche;Denkmal;Prio;Einsparen;Kosten
30213004;Radelandstr. 21;Haus 04;13589;790;nein ;680;40-50%;377221
30365001;Osloer Str. 102;Haus 01;13359;3475;ja ;681;40-50%;2146026
30244008;Heinrich-Grüber-Str. 35;Haus 08;12621;442;nein ;682;> 60%;670466
30349022;Friedrich-Olbricht-Damm 16;Haus Nr. 24 - 26;13627;883;ja ;683;30-40%;355894
30216019;Ruppiner Chaussee 240,268;Halle A 01;13503;985;ja ;684;50-60%;1170317
30003001;Oranienstr. 106;Haus 01;10969;27501;ja ;685;20-30%;11733830
30211001;Pionierstr. 160,204;Haus 01;13589;781;nein ;686;> 60%;515846
30030001;Belziger Str. 52-58;Haus 01;10823;852;ja ;687;30-40%;317239
30325001;Hartmannsweilerweg 63;Haus 01;14163;3678;nein ;688;40-50%;2753844
30392001;Rheinsberger Str. 4-5;Haus 01;10115;1112;ja ;689;40-50%;582493
30075012;Turmstr. 21;Haus M1;10559;1041;ja ;690;20-30%;250592
30199004;Grünauer Str. 140;Haus 04;12557;1372;nein ;691;40-50%;1023694
30393002;Persiusstr. 7-9;Haus 02;10245;324;nein ;692;20-30%;469193
30419001;Schillerstr. 120;Haus 01;10625;10439;nein ;693;10-20%;3396319
30001001;Jüdenstr. 1;Haus 01;10178;28291;ja ;694;20-30%;18043946
30392004;Rheinsberger Str. 4-5;Haus 04;10115;304;nein ;695;> 60%;413210
30076001;Max-Brunnow-Str. 4;Haus 01;10369;2573;nein ;696;30-40%;1718154
30164001;Linienstr. 128-129;Haus 01;10115;1618;ja ;697;30-40%;539839
30199001;Grünauer Str. 140;Haus 01;12557;1521;nein ;698;50-60%;1135661
30391002;Allee der Kosmonauten 18;Haus 02;10315;3475;nein ;699;10-20%;1224968
30349006;Friedrich-Olbricht-Damm 16;Werkstattgebäude ;13627;2250;nein ;700;40-50%;2896468
30213005;Radelandstr. 21;Haus 05;13589;10436;nein ;701;> 60%;5270426
30193017;Cecilienstr. 92;Haus 13;12683;1101;nein ;702;50-60%;777101
30159001;Hellersdorfer Str. 143-147;Haus 01;12619;1492;nein ;703;20-30%;1238297
30386006;Niederneuendorfer Allee 140-150;Haus D ;13587;727;nein ;704;20-30%;602487
30004001;Storkower Str. 134;Haus 01;10407;18629;nein ;705;30-40%;10767452
30216003;Ruppiner Chaussee 240,268;Halle 03;13503;731;ja ;706;30-40%;249259
30386007;Niederneuendorfer Allee 140-150;Haus E ;13587;727;nein ;707;20-30%;594489
30349018;Friedrich-Olbricht-Damm 16;Haus Nr. 8 - 10;13627;850;ja ;708;30-40%;342564
30349010;Friedrich-Olbricht-Damm 16;Wäscherei ;13627;3585;nein ;709;40-50%;3432308
30075001;Turmstr. 21;Haus A ;10559;20962;ja ;710;10-20%;6359434
30193007;Cecilienstr. 92;Haus 06;12683;866;nein ;711;30-40%;1035691
30400003;Birkenstr. 11;Haus 03;12559;943;nein ;712;20-30%;557167
30153002;Gravensteinstr. 9, 4-18;Haus 02;13127;1131;nein ;713;30-40%;1218303
30199002;Grünauer Str. 140;Haus 02;12557;4433;nein ;714;30-40%;2729852
30174001;Romain-Rolland-Str. 103,105,107;Haus 01;13089;1082;nein ;715;20-30%;1011698
30432003;Marzahner Chaussee 231;Haus 03;12681;1183;nein ;716;20-30%;1811459
30447003;Britzer Str. 5;Baracke 2;12439;990;ja ;717;50-60%;419875
30385003;Robert-von-Ostertag-Str. 2;Haus 03;14163;1062;nein ;718;50-60%;645141
30240003;Betckestr. 13;Haus 03;13595;601;nein ;719;50-60%;515846
30398002;Hartmannsweilerweg 29;Haus 02;14163;1535;nein ;720;40-50%;1967413
30193008;Cecilienstr. 92;Haus 07;12683;1689;nein ;721;30-40%;2135362
30149001;Ferdinand-Schultze-Str. 128,130,132;Haus 01;13055;1494;nein ;722;20-30%;1315607
30187004;Baumschulenstr. 1;Haus 04;12437;277;nein ;723;50-60%;307908
30193022;Cecilienstr. 92;Haus 18;12683;271;nein ;724;50-60%;221267
