Sanierungsfahrplan SILB gemäß Berliner Klimaschutz- und Energiewendegesetz (EWG Bln);;;;;;;;5/4/22
;;;;;;;;
"Gebäude
Nr.";Adresse;"Gebäude-
bezeichnung";PLZ;"Netto-
raum-
fläche m²";Denkmal-schutz;"Priorisierung
für weitere Sanierungs-
planungen";Einspar-potenzial Endenergie;"Grobkosten-schätzung
EURO
brutto"
30351001;Friedrich-Olbricht-Damm 40;Zellengebäude 1-2;13627;4.338;nein;103;40-50%;3.457.634
30434001;Kurfürstendamm 153;Haus 01 ;10709;12.471;ja;104;40-50%;8.014.940
30122001;Dudenstr. 35-37;Haus 01 ;10965;11.567;nein;105;40-50%;7.281.826
30439001;Thulestr. 77-79;Haus 01 ;13189;2.954;nein;106;> 60%;1.611.519
30440001;Wrangelstr. 2 ;Haus 01 ;12165;3.041;ja;107;50-60%;1.647.508
30367002;Klosterstr. 68 ;Haus 02 ;10179;2.384;nein;108;50-60%;814.423
30345001;Invalidenstr. 60;Haus 01 ;10557;15.524;nein;109;40-50%;8.034.934
30398001;Hartmannsweilerweg 29;Haus 01 ;14163;10.782;nein;110;40-50%;6.031.532
30131001;Lippstädter Str. 9-11;Haus 01 ;12207;14.230;nein;111;20-30%;3.035.094
30349002;Friedrich-Olbricht-Damm 16;Haus 01 ;13627;5.659;ja;112;30-40%;2.024.729
30443001;Am Sandwerder 5 ;Haus 01 ;14109;2.149;ja;113;40-50%;1.246.295
30120001;Bochumer Str. 8;Haus 01 ;10555;16.728;ja;114;20-30%;3.970.814
30126001;Haarlemer Str. 27;Haus 01 ;12359;18.704;nein;115;30-40%;11.359.275
30366001;Schloßstr. 1 A ;Haus 01 ;14059;4.655;ja;116;30-40%;1.698.160
30437004;Schumannstr. 11-14 A ;Haus 04 ;10117;7.689;ja;117;20-30%;5.297.085
30425001;Wollenbergerstr. 1;Haus 01 ;13053;1.391;nein;118;30-40%;1.520.879
30128002;Immenweg 6-10;Haus 02 ;12169;8.731;nein;119;30-40%;6.627.354
30351002;Friedrich-Olbricht-Damm 40;Zellengebäude 3;13627;2.178;nein;120;40-50%;1.762.141
30358007;Königin-Luise-Str. 49;Haus 07;14195;1.966;ja;121;50-60%;713.120
30338002;Albrechtstr. 20;Alte Probebühne ;10117;1.552;ja;122;30-40%;322.570
30196007;Gallwitzallee 87,95;Haus 07 ;12249;8.496;nein;123;> 60%;3.701.561
30403001;Leinestr. 37-45;Haus 01 ;12049;8.529;ja;124;40-50%;2.092.708
30351006;Friedrich-Olbricht-Damm 40;Verwaltungsgebäude ;13627;16.988;nein;125;50-60%;11.078.026
30082001;Elßholzstr. 30-33;Haus 01 ;10781;29.374;ja;126;20-30%;7.067.223
30350005;Friedrich-Olbricht-Damm 17;Haus 05 ;13627;4.087;nein;127;30-40%;1.944.753
30196028;Gallwitzallee 87,95;Haus 24 ;12249;9.996;nein;128;> 60%;4.404.018
30374001;Colomierstr. 3 ;Haus 01 ;14109;885;ja;129;40-50%;333.234
30194015;Charlottenburger Chaussee 67,75;Haus 14 ;13597;4.539;nein;130;50-60%;2.086.044
30427001;Alt-Moabit 10;Haus 01 ;10557;15.095;nein;131;50-60%;8.624.092
30140002;Steinmetzstr. 79;Haus 02 ;10783;612;ja;132;20-30%;210.604
30400001;Birkenstr. 11;Haus 01 ;12559;9.336;nein;133;> 60%;5.274.425
30361001;Käuzchensteig 8-12;Haus 01 ;14195;2.008;ja;134;40-50%;647.807
30128001;Immenweg 6-10;Haus 01 ;12169;16.934;nein;135;20-30%;11.685.844
30437001;Schumannstr. 11-14 A ;Haus 01 ;10117;9.091;ja;136;50-60%;5.935.561
30080001;Amtsgerichtsplatz 1;Haus 01 ;14057;15.561;ja;137;20-30%;6.008.872
30204002;Königstr. 5;Haus B ;14163;4.735;nein;138;> 60%;3.368.328
30352001;Kirchhainer Damm 64 - 66;Zellengebäude ;12309;5.692;nein;139;20-30%;4.803.899
30416001;Danckelmannstr. 25-28;Haus 01 ;14059;4.631;ja;140;30-40%;1.906.098
30196030;Gallwitzallee 87,95;Haus 26 ;12249;6.577;nein;141;> 60%;3.161.723
30351004;Friedrich-Olbricht-Damm 40;Zellengebäude 6 ;13627;2.176;nein;142;20-30%;1.063.682
30416002;Danckelmannstr. 25-28;Haus 02 ;14059;5.591;nein;143;20-30%;2.517.915
30202001;Keithstr. 28;Haus 01 ;10787;12.441;ja;144;40-50%;6.083.517
30449001;Dorfstr. 3 ;Haus 01 ;25599;466;ja;145;30-40%;161.285
30126007;Haarlemer Str. 27;Haus 07 ;12359;392;nein;146;50-60%;266.587
30414003;Gustav-Adolf-Str. 66;Haus 01 ;13086;11.889;nein;147;10-20%;3.450.970
30195006;Friesenstr. 16;Haus 04 ;10965;8.667;ja;148;30-40%;3.147.060
30351003;Friedrich-Olbricht-Damm 40;Zellengebäude 4-5;13627;4.337;nein;149;20-30%;2.780.503
30350001;Friedrich-Olbricht-Damm 17;Haus 01 ;13627;3.737;nein;150;30-40%;2.645.877
30350002;Friedrich-Olbricht-Damm 17;Haus 02 ;13627;3.346;nein;151;30-40%;2.194.012
30350004;Friedrich-Olbricht-Damm 17;Haus 04 ;13627;3.396;nein;152;30-40%;2.295.315
